query_id,query
query0,"Nimelt külastasin Tallinna Hambakliinik SA, kus parandati hambaauke. Peale külastust pidin ka kohe arve tasuma, millega ka tegin summas 30 €. Nüüd eile tuli mul polikliinikus SMS teavitus, kus oli kirjas, et olete võlgu."
query1,Tellisin Baltic Queeni peal hinna sees oleva hommikusöögi kajutisse. Kahjuks mulle seda ei toodud ning öeldi et ma pole isegi selle eest maksnud. Kodulehel oli info kirjas mille järgi toimetasin aga nüüd tahan esitada kaebust.
query2,"Uue seaduse järgi saab ARK-I liikluseksamile minna ka siis, kui kooli sõidueksam veel tegemata. Minu küsimus on, et kui kaua kooli liikluseksami tulemus kehtib? Kunagi kui mina tegin, kehtis autokooli tulemus vist 6 kuud, kas on selles osas ka mingeid muutusi?"
query3,"Kas politseile on mõtet avaldust teha, kui otseselt (füüsiliselt) viga pole saanud, tunnistajaid pole?Naabrimees peab mu peale viha, kaks aastat umbes juba, põhjuseid ei hakka siin välja tooma. Täna sattusin umbes samal ajal välja minema, askeldasin maja ees, tuli, pomises midagi ja viskas mu poole peosuuruse kivi."
query4,"Mul on üürnikud, kes lahkusid üürikorterist (jätsid võtmed postkasti) ja jäid võlgu kahe kuu üüri + kommunaalmaksed. Kuna nendega kokkuleppele ei saa, siis tahaksin anda asja inkassosse, et mingigi märk maha jääks, et tegemist on ebausaldusväärsete inimestega. Mul saamata jäänud rahast polegi niivõrd kahju, aga tahan just, et inimesed ei pääseks nii lihtsalt."
query5,"mul vanaemal on pesumasin juba 4 kuud katki. käis esialgne olukorra hindaja kohal ja ütles et läheb garantii alla, nüüd aga koguaeg lubatakse et tuleb tehnik. kas mul on võimalik nõuda neilt veits konkreetsemat tegevust või tähtaega?"
query6,"Jäin esimese lapsega dekreeti 2019 ja edasi lapsehoolduspuhkusele, kuni lapse kolme aastaseks saamiseni. Töökoht kus ma töötasin läks sel kevadel kinni, ehk tööd mul enam seal pole ning tööandja mind ise ei teavitanud, et pood suleti. Kas mul õigus saada koondamine ja saada koondamishüvitist?"
query7,"Töö juures on väikese kontori seinale tekkinud läbipaistev tasku, milles on püstises asendis nutitelefon. Arvame, et telefon on salvestajaks nii pildis kui kõnes. Kas on eetiline, et niimoodi salaja tegutsetakse töökeskkonnas?"
query8,"Asusin tööle 15 märts ja täna sain uue ja parema tööpakkumise. Kas mul on vanast kohast võimalik saada ära päeva pealt või pean seal veel töötama kaks nädalat? Kas peaksin avaldusele kirjutama nt soovin lahkuda omal soovil ,kas pean siis ka kuupäeva panema kuna sest ma soovin lahkuda?"
query9,"Tere, selline küsimus, tellisin grilli internetipoest, tellimust tühistati sest tarnija ei saa toimetada kauba. Poest öeldi et vabandust, raha tagasi saab 14 päeva jooksul. Nad ise tühistasid selle ja ma pean nüüd oma raha kaks nädalat ootama, pole ok ju, kuhu pean pöörduma?"
query10,Tere! Mis on koroonasümptomid?
query11,Kuna võivad kutsekooli õpilased kooli minna? Mitu haigestunut on Pärnus?
query12,kas suvele esitatud küsimuses sisaldav tähtede arv on piiratud? Tore õpi siis vahepeal hoolega. Hiljem suhtleme
query13,"Mida on vaja teha, et saada elamisluba? Kui mul on kehtiv elamisluba, aga ma ei viibi Eestis, kas ma saan riiki siseneda?"
query14,"tere, elan austraalias ning oleks vaja passi uuendada.Täidan siin seda ankeeti aga küsimus oleks paarile asjale. Kas austraalia aadress peab ka olema eesti keeles ning kas väljastuskohaks peaksin panema lihtsalt riigi kus asun pluss teisel lehel on mingid kohad kus ütleb et täidab 1 aastase kehtivusajaga paasi taotleja"
query15,"Tere! Soovin teada,kus näeb nüüd ,kes on minu andmeid vaadanud."
query16,Luba on pikendamisel ja OLEKS *+TEHTUD KUI POLITSEI KODULEHELT SAAKS TERVISETÕENDI ESITADA.+**+RIIGIGA SUHTLEMINE POLE LIHTNE+*
query17,"Tere, kas on võimalik kuidagi saada eesti.ee lehelt passipildi koopiat ? Alla laadida pilt vms"
query18,"Millal on 2020. aastal vastlapäev? Millistest Euroopa riikidest tulles kehtib mulle liikumisvabaduse piirang ja millistest mitte?
"
query19,"palun infot surma järgsete toimingute kohta
Millal surm saabub?"
query20,"Tere! Ei saagi kuidagi, ma olen lihtsalt kurb. Head aega"
query21,"Kull sa oled tark Millal sa oled sündinud

"
query22,"Tere! Oleks vaja infot Kas raamatu eest, mille kaotasin saab tasuda arvega?"
query23,"tšau tsau ei oska otsida aidake Olen kuulnud, et saab ka mingi teise raamatu tuua, ei pea kohe välja maksma"
query24,"tere Ma ei leia infot Tagastaksin raamatu, aga see on mul kadunud. Millised on minu võimalused see ooletus kompenseerida"
